Sexo;Comunidad autónoma;Prevalencia depresión;Total
Ambos sexos;Total;TOTAL;100
Ambos sexos;Total;Cuadro depresivo mayor;2,46
Ambos sexos;Total;Otros cuadros depresivos;2,9
Ambos sexos;Total;Sin cuadro depresivo alguno;94,64
Ambos sexos;Andalucía;TOTAL;100
Ambos sexos;Andalucía;Cuadro depresivo mayor;2,13
Ambos sexos;Andalucía;Otros cuadros depresivos;1,75
Ambos sexos;Andalucía;Sin cuadro depresivo alguno;96,12
Ambos sexos;Aragón;TOTAL;100
Ambos sexos;Aragón;Cuadro depresivo mayor;1,85
Ambos sexos;Aragón;Otros cuadros depresivos;4,14
Ambos sexos;Aragón;Sin cuadro depresivo alguno;94,01
Ambos sexos;Asturias (Principado de);TOTAL;100
Ambos sexos;Asturias (Principado de);Cuadro depresivo mayor;2,29
Ambos sexos;Asturias (Principado de);Otros cuadros depresivos;1,8
Ambos sexos;Asturias (Principado de);Sin cuadro depresivo alguno;95,91
Ambos sexos;Balears (Illes);TOTAL;100
Ambos sexos;Balears (Illes);Cuadro depresivo mayor;1,58
Ambos sexos;Balears (Illes);Otros cuadros depresivos;2,14
Ambos sexos;Balears (Illes);Sin cuadro depresivo alguno;96,28
Ambos sexos;Canarias;TOTAL;100
Ambos sexos;Canarias;Cuadro depresivo mayor;2,31
Ambos sexos;Canarias;Otros cuadros depresivos;1,51
Ambos sexos;Canarias;Sin cuadro depresivo alguno;96,18
Ambos sexos;Cantabria;TOTAL;100
Ambos sexos;Cantabria;Cuadro depresivo mayor;2,09
Ambos sexos;Cantabria;Otros cuadros depresivos;1,55
Ambos sexos;Cantabria;Sin cuadro depresivo alguno;96,37
Ambos sexos;Castilla y León;TOTAL;100
Ambos sexos;Castilla y León;Cuadro depresivo mayor;4,07
Ambos sexos;Castilla y León;Otros cuadros depresivos;5,96
Ambos sexos;Castilla y León;Sin cuadro depresivo alguno;89,98
Ambos sexos;Castilla-La Mancha;TOTAL;100
Ambos sexos;Castilla-La Mancha;Cuadro depresivo mayor;1,31
Ambos sexos;Castilla-La Mancha;Otros cuadros depresivos;3,11
Ambos sexos;Castilla-La Mancha;Sin cuadro depresivo alguno;95,58
Ambos sexos;Cataluña;TOTAL;100
Ambos sexos;Cataluña;Cuadro depresivo mayor;2,07
Ambos sexos;Cataluña;Otros cuadros depresivos;2,41
Ambos sexos;Cataluña;Sin cuadro depresivo alguno;95,52
Ambos sexos;Comunitat Valenciana;TOTAL;100
Ambos sexos;Comunitat Valenciana;Cuadro depresivo mayor;4,09
Ambos sexos;Comunitat Valenciana;Otros cuadros depresivos;5,68
Ambos sexos;Comunitat Valenciana;Sin cuadro depresivo alguno;90,23
Ambos sexos;Extremadura;TOTAL;100
Ambos sexos;Extremadura;Cuadro depresivo mayor;1,88
Ambos sexos;Extremadura;Otros cuadros depresivos;2,92
Ambos sexos;Extremadura;Sin cuadro depresivo alguno;95,2
Ambos sexos;Galicia;TOTAL;100
Ambos sexos;Galicia;Cuadro depresivo mayor;3,27
Ambos sexos;Galicia;Otros cuadros depresivos;2,27
Ambos sexos;Galicia;Sin cuadro depresivo alguno;94,46
Ambos sexos;Madrid (Comunidad de);TOTAL;100
Ambos sexos;Madrid (Comunidad de);Cuadro depresivo mayor;1,75
Ambos sexos;Madrid (Comunidad de);Otros cuadros depresivos;2,29
Ambos sexos;Madrid (Comunidad de);Sin cuadro depresivo alguno;95,96
Ambos sexos;Murcia (Región de);TOTAL;100
Ambos sexos;Murcia (Región de);Cuadro depresivo mayor;3,62
Ambos sexos;Murcia (Región de);Otros cuadros depresivos;3,07
Ambos sexos;Murcia (Región de);Sin cuadro depresivo alguno;93,31
Ambos sexos;Navarra (Comunidad Foral de);TOTAL;100
Ambos sexos;Navarra (Comunidad Foral de);Cuadro depresivo mayor;1,8
Ambos sexos;Navarra (Comunidad Foral de);Otros cuadros depresivos;4,93
Ambos sexos;Navarra (Comunidad Foral de);Sin cuadro depresivo alguno;93,28
Ambos sexos;País Vasco;TOTAL;100
Ambos sexos;País Vasco;Cuadro depresivo mayor;2,76
Ambos sexos;País Vasco;Otros cuadros depresivos;3,06
Ambos sexos;País Vasco;Sin cuadro depresivo alguno;94,19
Ambos sexos;Rioja (La);TOTAL;100
Ambos sexos;Rioja (La);Cuadro depresivo mayor;1,93
Ambos sexos;Rioja (La);Otros cuadros depresivos;3,36
Ambos sexos;Rioja (La);Sin cuadro depresivo alguno;94,71
Ambos sexos;Ceuta (Ciudad Autónoma de);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Cuadro depresivo mayor;1,33
Ambos sexos;Ceuta (Ciudad Autónoma de);Otros cuadros depresivos;1,07
Ambos sexos;Ceuta (Ciudad Autónoma de);Sin cuadro depresivo alguno;97,6
Ambos sexos;Melilla (Ciudad Autónoma de);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Cuadro depresivo mayor;1,11
Ambos sexos;Melilla (Ciudad Autónoma de);Otros cuadros depresivos;0,31
Ambos sexos;Melilla (Ciudad Autónoma de);Sin cuadro depresivo alguno;98,58
Hombres;Total;TOTAL;100
Hombres;Total;Cuadro depresivo mayor;1,45
Hombres;Total;Otros cuadros depresivos;2,03
Hombres;Total;Sin cuadro depresivo alguno;96,52
Hombres;Andalucía;TOTAL;100
Hombres;Andalucía;Cuadro depresivo mayor;1,15
Hombres;Andalucía;Otros cuadros depresivos;1,18
Hombres;Andalucía;Sin cuadro depresivo alguno;97,67
Hombres;Aragón;TOTAL;100
Hombres;Aragón;Cuadro depresivo mayor;0,72
Hombres;Aragón;Otros cuadros depresivos;2,68
Hombres;Aragón;Sin cuadro depresivo alguno;96,6
Hombres;Asturias (Principado de);TOTAL;100
Hombres;Asturias (Principado de);Cuadro depresivo mayor;1,67
Hombres;Asturias (Principado de);Otros cuadros depresivos;0,55
Hombres;Asturias (Principado de);Sin cuadro depresivo alguno;97,77
Hombres;Balears (Illes);TOTAL;100
Hombres;Balears (Illes);Cuadro depresivo mayor;1,62
Hombres;Balears (Illes);Otros cuadros depresivos;0,51
Hombres;Balears (Illes);Sin cuadro depresivo alguno;97,87
Hombres;Canarias;TOTAL;100
Hombres;Canarias;Cuadro depresivo mayor;1,81
Hombres;Canarias;Otros cuadros depresivos;1,47
Hombres;Canarias;Sin cuadro depresivo alguno;96,72
Hombres;Cantabria;TOTAL;100
Hombres;Cantabria;Cuadro depresivo mayor;1,24
Hombres;Cantabria;Otros cuadros depresivos;1,81
Hombres;Cantabria;Sin cuadro depresivo alguno;96,95
Hombres;Castilla y León;TOTAL;100
Hombres;Castilla y León;Cuadro depresivo mayor;2,64
Hombres;Castilla y León;Otros cuadros depresivos;2,83
Hombres;Castilla y León;Sin cuadro depresivo alguno;94,53
Hombres;Castilla-La Mancha;TOTAL;100
Hombres;Castilla-La Mancha;Cuadro depresivo mayor;0,29
Hombres;Castilla-La Mancha;Otros cuadros depresivos;2,62
Hombres;Castilla-La Mancha;Sin cuadro depresivo alguno;97,09
Hombres;Cataluña;TOTAL;100
Hombres;Cataluña;Cuadro depresivo mayor;1,29
Hombres;Cataluña;Otros cuadros depresivos;1,94
Hombres;Cataluña;Sin cuadro depresivo alguno;96,77
Hombres;Comunitat Valenciana;TOTAL;100
Hombres;Comunitat Valenciana;Cuadro depresivo mayor;3,29
Hombres;Comunitat Valenciana;Otros cuadros depresivos;5,11
Hombres;Comunitat Valenciana;Sin cuadro depresivo alguno;91,6
Hombres;Extremadura;TOTAL;100
Hombres;Extremadura;Cuadro depresivo mayor;0,35
Hombres;Extremadura;Otros cuadros depresivos;2,02
Hombres;Extremadura;Sin cuadro depresivo alguno;97,63
Hombres;Galicia;TOTAL;100
Hombres;Galicia;Cuadro depresivo mayor;1,53
Hombres;Galicia;Otros cuadros depresivos;0,93
Hombres;Galicia;Sin cuadro depresivo alguno;97,53
Hombres;Madrid (Comunidad de);TOTAL;100
Hombres;Madrid (Comunidad de);Cuadro depresivo mayor;0,63
Hombres;Madrid (Comunidad de);Otros cuadros depresivos;0,99
Hombres;Madrid (Comunidad de);Sin cuadro depresivo alguno;98,38
Hombres;Murcia (Región de);TOTAL;100
Hombres;Murcia (Región de);Cuadro depresivo mayor;1,6
Hombres;Murcia (Región de);Otros cuadros depresivos;1,86
Hombres;Murcia (Región de);Sin cuadro depresivo alguno;96,55
Hombres;Navarra (Comunidad Foral de);TOTAL;100
Hombres;Navarra (Comunidad Foral de);Cuadro depresivo mayor;2,21
Hombres;Navarra (Comunidad Foral de);Otros cuadros depresivos;4,15
Hombres;Navarra (Comunidad Foral de);Sin cuadro depresivo alguno;93,64
Hombres;País Vasco;TOTAL;100
Hombres;País Vasco;Cuadro depresivo mayor;1,18
Hombres;País Vasco;Otros cuadros depresivos;2,85
Hombres;País Vasco;Sin cuadro depresivo alguno;95,96
Hombres;Rioja (La);TOTAL;100
Hombres;Rioja (La);Cuadro depresivo mayor;1,02
Hombres;Rioja (La);Otros cuadros depresivos;2,62
Hombres;Rioja (La);Sin cuadro depresivo alguno;96,36
Hombres;Ceuta (Ciudad Autónoma de);TOTAL;100
Hombres;Ceuta (Ciudad Autónoma de);Cuadro depresivo mayor;1,75
Hombres;Ceuta (Ciudad Autónoma de);Otros cuadros depresivos;0
Hombres;Ceuta (Ciudad Autónoma de);Sin cuadro depresivo alguno;98,25
Hombres;Melilla (Ciudad Autónoma de);TOTAL;100
Hombres;Melilla (Ciudad Autónoma de);Cuadro depresivo mayor;0
Hombres;Melilla (Ciudad Autónoma de);Otros cuadros depresivos;0
Hombres;Melilla (Ciudad Autónoma de);Sin cuadro depresivo alguno;100
Mujeres;Total;TOTAL;100
Mujeres;Total;Cuadro depresivo mayor;3,42
Mujeres;Total;Otros cuadros depresivos;3,72
Mujeres;Total;Sin cuadro depresivo alguno;92,86
Mujeres;Andalucía;TOTAL;100
Mujeres;Andalucía;Cuadro depresivo mayor;3,07
Mujeres;Andalucía;Otros cuadros depresivos;2,29
Mujeres;Andalucía;Sin cuadro depresivo alguno;94,63
Mujeres;Aragón;TOTAL;100
Mujeres;Aragón;Cuadro depresivo mayor;2,93
Mujeres;Aragón;Otros cuadros depresivos;5,54
Mujeres;Aragón;Sin cuadro depresivo alguno;91,53
Mujeres;Asturias (Principado de);TOTAL;100
Mujeres;Asturias (Principado de);Cuadro depresivo mayor;2,85
Mujeres;Asturias (Principado de);Otros cuadros depresivos;2,93
Mujeres;Asturias (Principado de);Sin cuadro depresivo alguno;94,22
Mujeres;Balears (Illes);TOTAL;100
Mujeres;Balears (Illes);Cuadro depresivo mayor;1,54
Mujeres;Balears (Illes);Otros cuadros depresivos;3,76
Mujeres;Balears (Illes);Sin cuadro depresivo alguno;94,71
Mujeres;Canarias;TOTAL;100
Mujeres;Canarias;Cuadro depresivo mayor;2,8
Mujeres;Canarias;Otros cuadros depresivos;1,54
Mujeres;Canarias;Sin cuadro depresivo alguno;95,66
Mujeres;Cantabria;TOTAL;100
Mujeres;Cantabria;Cuadro depresivo mayor;2,88
Mujeres;Cantabria;Otros cuadros depresivos;1,3
Mujeres;Cantabria;Sin cuadro depresivo alguno;95,82
Mujeres;Castilla y León;TOTAL;100
Mujeres;Castilla y León;Cuadro depresivo mayor;5,43
Mujeres;Castilla y León;Otros cuadros depresivos;8,95
Mujeres;Castilla y León;Sin cuadro depresivo alguno;85,62
Mujeres;Castilla-La Mancha;TOTAL;100
Mujeres;Castilla-La Mancha;Cuadro depresivo mayor;2,34
Mujeres;Castilla-La Mancha;Otros cuadros depresivos;3,6
Mujeres;Castilla-La Mancha;Sin cuadro depresivo alguno;94,06
Mujeres;Cataluña;TOTAL;100
Mujeres;Cataluña;Cuadro depresivo mayor;2,81
Mujeres;Cataluña;Otros cuadros depresivos;2,85
Mujeres;Cataluña;Sin cuadro depresivo alguno;94,33
Mujeres;Comunitat Valenciana;TOTAL;100
Mujeres;Comunitat Valenciana;Cuadro depresivo mayor;4,87
Mujeres;Comunitat Valenciana;Otros cuadros depresivos;6,23
Mujeres;Comunitat Valenciana;Sin cuadro depresivo alguno;88,91
Mujeres;Extremadura;TOTAL;100
Mujeres;Extremadura;Cuadro depresivo mayor;3,38
Mujeres;Extremadura;Otros cuadros depresivos;3,79
Mujeres;Extremadura;Sin cuadro depresivo alguno;92,83
Mujeres;Galicia;TOTAL;100
Mujeres;Galicia;Cuadro depresivo mayor;4,85
Mujeres;Galicia;Otros cuadros depresivos;3,48
Mujeres;Galicia;Sin cuadro depresivo alguno;91,67
Mujeres;Madrid (Comunidad de);TOTAL;100
Mujeres;Madrid (Comunidad de);Cuadro depresivo mayor;2,75
Mujeres;Madrid (Comunidad de);Otros cuadros depresivos;3,47
Mujeres;Madrid (Comunidad de);Sin cuadro depresivo alguno;93,78
Mujeres;Murcia (Región de);TOTAL;100
Mujeres;Murcia (Región de);Cuadro depresivo mayor;5,62
Mujeres;Murcia (Región de);Otros cuadros depresivos;4,26
Mujeres;Murcia (Región de);Sin cuadro depresivo alguno;90,12
Mujeres;Navarra (Comunidad Foral de);TOTAL;100
Mujeres;Navarra (Comunidad Foral de);Cuadro depresivo mayor;1,39
Mujeres;Navarra (Comunidad Foral de);Otros cuadros depresivos;5,69
Mujeres;Navarra (Comunidad Foral de);Sin cuadro depresivo alguno;92,93
Mujeres;País Vasco;TOTAL;100
Mujeres;País Vasco;Cuadro depresivo mayor;4,21
Mujeres;País Vasco;Otros cuadros depresivos;3,24
Mujeres;País Vasco;Sin cuadro depresivo alguno;92,55
Mujeres;Rioja (La);TOTAL;100
Mujeres;Rioja (La);Cuadro depresivo mayor;2,81
Mujeres;Rioja (La);Otros cuadros depresivos;4,07
Mujeres;Rioja (La);Sin cuadro depresivo alguno;93,12
Mujeres;Ceuta (Ciudad Autónoma de);TOTAL;100
Mujeres;Ceuta (Ciudad Autónoma de);Cuadro depresivo mayor;0,89
Mujeres;Ceuta (Ciudad Autónoma de);Otros cuadros depresivos;2,18
Mujeres;Ceuta (Ciudad Autónoma de);Sin cuadro depresivo alguno;96,93
Mujeres;Melilla (Ciudad Autónoma de);TOTAL;100
Mujeres;Melilla (Ciudad Autónoma de);Cuadro depresivo mayor;2,21
Mujeres;Melilla (Ciudad Autónoma de);Otros cuadros depresivos;0,61
Mujeres;Melilla (Ciudad Autónoma de);Sin cuadro depresivo alguno;97,18
