Comunidades y Ciudades Autónomas;Principales variables;Total
Total nacional;Total Niños (10-15 años);3.033.545
Total nacional;Niños usuarios de ordenador en los últimos 3 meses;93,1
Total nacional;Niños usuarios de Internet en los últimos 3 meses;94,9
Total nacional;Niños que disponen de teléfono móvil;69,5
Andalucía;Total Niños (10-15 años);583.425
Andalucía;Niños usuarios de ordenador en los últimos 3 meses;90,2
Andalucía;Niños usuarios de Internet en los últimos 3 meses;91,7
Andalucía;Niños que disponen de teléfono móvil;68,9
Aragón;Total Niños (10-15 años);80.831
Aragón;Niños usuarios de ordenador en los últimos 3 meses;93,5
Aragón;Niños usuarios de Internet en los últimos 3 meses;95,5
Aragón;Niños que disponen de teléfono móvil;68,8
Asturias, Principado de;Total Niños (10-15 años);50.324
Asturias, Principado de;Niños usuarios de ordenador en los últimos 3 meses;94,2
Asturias, Principado de;Niños usuarios de Internet en los últimos 3 meses;91,2
Asturias, Principado de;Niños que disponen de teléfono móvil;71,8
Balears, Illes;Total Niños (10-15 años);76.879
Balears, Illes;Niños usuarios de ordenador en los últimos 3 meses;94,5
Balears, Illes;Niños usuarios de Internet en los últimos 3 meses;98,9
Balears, Illes;Niños que disponen de teléfono móvil;70,8
Canarias;Total Niños (10-15 años);128.489
Canarias;Niños usuarios de ordenador en los últimos 3 meses;94,5
Canarias;Niños usuarios de Internet en los últimos 3 meses;93,5
Canarias;Niños que disponen de teléfono móvil;74,8
Cantabria;Total Niños (10-15 años);34.865
Cantabria;Niños usuarios de ordenador en los últimos 3 meses;94,2
Cantabria;Niños usuarios de Internet en los últimos 3 meses;92,5
Cantabria;Niños que disponen de teléfono móvil;67,9
Castilla y León;Total Niños (10-15 años);126.229
Castilla y León;Niños usuarios de ordenador en los últimos 3 meses;87,4
Castilla y León;Niños usuarios de Internet en los últimos 3 meses;96,2
Castilla y León;Niños que disponen de teléfono móvil;69,6
Castilla-La Mancha;Total Niños (10-15 años);137.205
Castilla-La Mancha;Niños usuarios de ordenador en los últimos 3 meses;95
Castilla-La Mancha;Niños usuarios de Internet en los últimos 3 meses;94,4
Castilla-La Mancha;Niños que disponen de teléfono móvil;76,9
Cataluña;Total Niños (10-15 años);514.547
Cataluña;Niños usuarios de ordenador en los últimos 3 meses;92
Cataluña;Niños usuarios de Internet en los últimos 3 meses;96,4
Cataluña;Niños que disponen de teléfono móvil;69
Comunitat Valenciana;Total Niños (10-15 años);331.670
Comunitat Valenciana;Niños usuarios de ordenador en los últimos 3 meses;93,4
Comunitat Valenciana;Niños usuarios de Internet en los últimos 3 meses;96,8
Comunitat Valenciana;Niños que disponen de teléfono móvil;69,7
Extremadura;Total Niños (10-15 años);63.031
Extremadura;Niños usuarios de ordenador en los últimos 3 meses;91,4
Extremadura;Niños usuarios de Internet en los últimos 3 meses;94,8
Extremadura;Niños que disponen de teléfono móvil;82,6
Galicia;Total Niños (10-15 años);141.235
Galicia;Niños usuarios de ordenador en los últimos 3 meses;98,3
Galicia;Niños usuarios de Internet en los últimos 3 meses;95,6
Galicia;Niños que disponen de teléfono móvil;63,9
Madrid, Comunidad de;Total Niños (10-15 años);441.747
Madrid, Comunidad de;Niños usuarios de ordenador en los últimos 3 meses;95
Madrid, Comunidad de;Niños usuarios de Internet en los últimos 3 meses;95
Madrid, Comunidad de;Niños que disponen de teléfono móvil;65,8
Murcia, Región de;Total Niños (10-15 años);109.976
Murcia, Región de;Niños usuarios de ordenador en los últimos 3 meses;92,6
Murcia, Región de;Niños usuarios de Internet en los últimos 3 meses;96,5
Murcia, Región de;Niños que disponen de teléfono móvil;72,5
Navarra, Comunidad Foral de;Total Niños (10-15 años);44.415
Navarra, Comunidad Foral de;Niños usuarios de ordenador en los últimos 3 meses;95,5
Navarra, Comunidad Foral de;Niños usuarios de Internet en los últimos 3 meses;95,5
Navarra, Comunidad Foral de;Niños que disponen de teléfono móvil;63,3
País Vasco;Total Niños (10-15 años);133.904
País Vasco;Niños usuarios de ordenador en los últimos 3 meses;97
País Vasco;Niños usuarios de Internet en los últimos 3 meses;96,9
País Vasco;Niños que disponen de teléfono móvil;70,6
Rioja, La;Total Niños (10-15 años);20.034
Rioja, La;Niños usuarios de ordenador en los últimos 3 meses;95,7
Rioja, La;Niños usuarios de Internet en los últimos 3 meses;92,1
Rioja, La;Niños que disponen de teléfono móvil;73,9
Ceuta;Total Niños (10-15 años);7.129
Ceuta;Niños usuarios de ordenador en los últimos 3 meses;90,8
Ceuta;Niños usuarios de Internet en los últimos 3 meses;90,8
Ceuta;Niños que disponen de teléfono móvil;81,6
Melilla;Total Niños (10-15 años);7.610
Melilla;Niños usuarios de ordenador en los últimos 3 meses;94,3
Melilla;Niños usuarios de Internet en los últimos 3 meses;100
Melilla;Niños que disponen de teléfono móvil;61,5
