Clase de población;Comunidades y Ciudades Autónomas;Frecuencia de uso;Total
Total personas (75 y más años);Total nacional;Total;4.458.067
Total personas (75 y más años);Total nacional;Han utilizado Internet alguna vez;41,7
Total personas (75 y más años);Total nacional;Han utilizado Internet en los últimos 12 meses;36,8
Total personas (75 y más años);Total nacional;Han utilizado Internet en los últimos 3 meses;35,9
Total personas (75 y más años);Total nacional;Han utilizado internet semanalmente (al menos una vez a la semana);32,4
Total personas (75 y más años);Total nacional;Han usado Internet diariamente (al menos 5 días a la semana);24,1
Total personas (75 y más años);Total nacional;Han utilizado internet varias veces al día;20,8
Total personas (75 y más años);Andalucía;Total;698.987
Total personas (75 y más años);Andalucía;Han utilizado Internet alguna vez;47,7
Total personas (75 y más años);Andalucía;Han utilizado Internet en los últimos 12 meses;42,1
Total personas (75 y más años);Andalucía;Han utilizado Internet en los últimos 3 meses;41,7
Total personas (75 y más años);Andalucía;Han utilizado internet semanalmente (al menos una vez a la semana);37,8
Total personas (75 y más años);Andalucía;Han usado Internet diariamente (al menos 5 días a la semana);28,2
Total personas (75 y más años);Andalucía;Han utilizado internet varias veces al día;22,7
Total personas (75 y más años);Aragón;Total;138.275
Total personas (75 y más años);Aragón;Han utilizado Internet alguna vez;34,2
Total personas (75 y más años);Aragón;Han utilizado Internet en los últimos 12 meses;33,7
Total personas (75 y más años);Aragón;Han utilizado Internet en los últimos 3 meses;32,6
Total personas (75 y más años);Aragón;Han utilizado internet semanalmente (al menos una vez a la semana);28,5
Total personas (75 y más años);Aragón;Han usado Internet diariamente (al menos 5 días a la semana);23,8
Total personas (75 y más años);Aragón;Han utilizado internet varias veces al día;19,8
Total personas (75 y más años);Asturias, Principado de;Total;128.677
Total personas (75 y más años);Asturias, Principado de;Han utilizado Internet alguna vez;33
Total personas (75 y más años);Asturias, Principado de;Han utilizado Internet en los últimos 12 meses;31,6
Total personas (75 y más años);Asturias, Principado de;Han utilizado Internet en los últimos 3 meses;30,4
Total personas (75 y más años);Asturias, Principado de;Han utilizado internet semanalmente (al menos una vez a la semana);27,4
Total personas (75 y más años);Asturias, Principado de;Han usado Internet diariamente (al menos 5 días a la semana);20,7
Total personas (75 y más años);Asturias, Principado de;Han utilizado internet varias veces al día;19,9
Total personas (75 y más años);Balears, Illes;Total;91.383
Total personas (75 y más años);Balears, Illes;Han utilizado Internet alguna vez;45,3
Total personas (75 y más años);Balears, Illes;Han utilizado Internet en los últimos 12 meses;44,9
Total personas (75 y más años);Balears, Illes;Han utilizado Internet en los últimos 3 meses;43,5
Total personas (75 y más años);Balears, Illes;Han utilizado internet semanalmente (al menos una vez a la semana);43
Total personas (75 y más años);Balears, Illes;Han usado Internet diariamente (al menos 5 días a la semana);34,7
Total personas (75 y más años);Balears, Illes;Han utilizado internet varias veces al día;30,5
Total personas (75 y más años);Canarias;Total;176.650
Total personas (75 y más años);Canarias;Han utilizado Internet alguna vez;42,8
Total personas (75 y más años);Canarias;Han utilizado Internet en los últimos 12 meses;38,8
Total personas (75 y más años);Canarias;Han utilizado Internet en los últimos 3 meses;38,8
Total personas (75 y más años);Canarias;Han utilizado internet semanalmente (al menos una vez a la semana);31,6
Total personas (75 y más años);Canarias;Han usado Internet diariamente (al menos 5 días a la semana);28,8
Total personas (75 y más años);Canarias;Han utilizado internet varias veces al día;24,7
Total personas (75 y más años);Cantabria;Total;61.418
Total personas (75 y más años);Cantabria;Han utilizado Internet alguna vez;39,2
Total personas (75 y más años);Cantabria;Han utilizado Internet en los últimos 12 meses;36,9
Total personas (75 y más años);Cantabria;Han utilizado Internet en los últimos 3 meses;34,6
Total personas (75 y más años);Cantabria;Han utilizado internet semanalmente (al menos una vez a la semana);33,6
Total personas (75 y más años);Cantabria;Han usado Internet diariamente (al menos 5 días a la semana);26,1
Total personas (75 y más años);Cantabria;Han utilizado internet varias veces al día;22,1
Total personas (75 y más años);Castilla y León;Total;299.204
Total personas (75 y más años);Castilla y León;Han utilizado Internet alguna vez;32,1
Total personas (75 y más años);Castilla y León;Han utilizado Internet en los últimos 12 meses;29,3
Total personas (75 y más años);Castilla y León;Han utilizado Internet en los últimos 3 meses;27,9
Total personas (75 y más años);Castilla y León;Han utilizado internet semanalmente (al menos una vez a la semana);24,9
Total personas (75 y más años);Castilla y León;Han usado Internet diariamente (al menos 5 días a la semana);20,1
Total personas (75 y más años);Castilla y León;Han utilizado internet varias veces al día;17,2
Total personas (75 y más años);Castilla-La Mancha;Total;184.376
Total personas (75 y más años);Castilla-La Mancha;Han utilizado Internet alguna vez;25,8
Total personas (75 y más años);Castilla-La Mancha;Han utilizado Internet en los últimos 12 meses;21,8
Total personas (75 y más años);Castilla-La Mancha;Han utilizado Internet en los últimos 3 meses;18,2
Total personas (75 y más años);Castilla-La Mancha;Han utilizado internet semanalmente (al menos una vez a la semana);14,5
Total personas (75 y más años);Castilla-La Mancha;Han usado Internet diariamente (al menos 5 días a la semana);11,8
Total personas (75 y más años);Castilla-La Mancha;Han utilizado internet varias veces al día;11,8
Total personas (75 y más años);Cataluña;Total;696.706
Total personas (75 y más años);Cataluña;Han utilizado Internet alguna vez;50,4
Total personas (75 y más años);Cataluña;Han utilizado Internet en los últimos 12 meses;43
Total personas (75 y más años);Cataluña;Han utilizado Internet en los últimos 3 meses;41,8
Total personas (75 y más años);Cataluña;Han utilizado internet semanalmente (al menos una vez a la semana);39
Total personas (75 y más años);Cataluña;Han usado Internet diariamente (al menos 5 días a la semana);26,6
Total personas (75 y más años);Cataluña;Han utilizado internet varias veces al día;22,2
Total personas (75 y más años);Comunitat Valenciana;Total;474.309
Total personas (75 y más años);Comunitat Valenciana;Han utilizado Internet alguna vez;31,7
Total personas (75 y más años);Comunitat Valenciana;Han utilizado Internet en los últimos 12 meses;28,2
Total personas (75 y más años);Comunitat Valenciana;Han utilizado Internet en los últimos 3 meses;26,8
Total personas (75 y más años);Comunitat Valenciana;Han utilizado internet semanalmente (al menos una vez a la semana);22,3
Total personas (75 y más años);Comunitat Valenciana;Han usado Internet diariamente (al menos 5 días a la semana);15,7
Total personas (75 y más años);Comunitat Valenciana;Han utilizado internet varias veces al día;12,3
Total personas (75 y más años);Extremadura;Total;107.076
Total personas (75 y más años);Extremadura;Han utilizado Internet alguna vez;37,8
Total personas (75 y más años);Extremadura;Han utilizado Internet en los últimos 12 meses;33
Total personas (75 y más años);Extremadura;Han utilizado Internet en los últimos 3 meses;32,4
Total personas (75 y más años);Extremadura;Han utilizado internet semanalmente (al menos una vez a la semana);27,7
Total personas (75 y más años);Extremadura;Han usado Internet diariamente (al menos 5 días a la semana);21,4
Total personas (75 y más años);Extremadura;Han utilizado internet varias veces al día;19,7
Total personas (75 y más años);Galicia;Total;362.574
Total personas (75 y más años);Galicia;Han utilizado Internet alguna vez;34,4
Total personas (75 y más años);Galicia;Han utilizado Internet en los últimos 12 meses;31,4
Total personas (75 y más años);Galicia;Han utilizado Internet en los últimos 3 meses;31,4
Total personas (75 y más años);Galicia;Han utilizado internet semanalmente (al menos una vez a la semana);28,6
Total personas (75 y más años);Galicia;Han usado Internet diariamente (al menos 5 días a la semana);19,7
Total personas (75 y más años);Galicia;Han utilizado internet varias veces al día;18,7
Total personas (75 y más años);Madrid, Comunidad de;Total;575.588
Total personas (75 y más años);Madrid, Comunidad de;Han utilizado Internet alguna vez;52,1
Total personas (75 y más años);Madrid, Comunidad de;Han utilizado Internet en los últimos 12 meses;42,8
Total personas (75 y más años);Madrid, Comunidad de;Han utilizado Internet en los últimos 3 meses;42,5
Total personas (75 y más años);Madrid, Comunidad de;Han utilizado internet semanalmente (al menos una vez a la semana);40,4
Total personas (75 y más años);Madrid, Comunidad de;Han usado Internet diariamente (al menos 5 días a la semana);30,2
Total personas (75 y más años);Madrid, Comunidad de;Han utilizado internet varias veces al día;29,4
Total personas (75 y más años);Murcia, Región de;Total;115.488
Total personas (75 y más años);Murcia, Región de;Han utilizado Internet alguna vez;39,6
Total personas (75 y más años);Murcia, Región de;Han utilizado Internet en los últimos 12 meses;34,4
Total personas (75 y más años);Murcia, Región de;Han utilizado Internet en los últimos 3 meses;34,4
Total personas (75 y más años);Murcia, Región de;Han utilizado internet semanalmente (al menos una vez a la semana);30,8
Total personas (75 y más años);Murcia, Región de;Han usado Internet diariamente (al menos 5 días a la semana);24,3
Total personas (75 y más años);Murcia, Región de;Han utilizado internet varias veces al día;13,9
Total personas (75 y más años);Navarra, Comunidad Foral de;Total;62.417
Total personas (75 y más años);Navarra, Comunidad Foral de;Han utilizado Internet alguna vez;28,1
Total personas (75 y más años);Navarra, Comunidad Foral de;Han utilizado Internet en los últimos 12 meses;27,5
Total personas (75 y más años);Navarra, Comunidad Foral de;Han utilizado Internet en los últimos 3 meses;27,5
Total personas (75 y más años);Navarra, Comunidad Foral de;Han utilizado internet semanalmente (al menos una vez a la semana);23,2
Total personas (75 y más años);Navarra, Comunidad Foral de;Han usado Internet diariamente (al menos 5 días a la semana);17
Total personas (75 y más años);Navarra, Comunidad Foral de;Han utilizado internet varias veces al día;16,5
Total personas (75 y más años);País Vasco;Total;243.867
Total personas (75 y más años);País Vasco;Han utilizado Internet alguna vez;44,1
Total personas (75 y más años);País Vasco;Han utilizado Internet en los últimos 12 meses;41,1
Total personas (75 y más años);País Vasco;Han utilizado Internet en los últimos 3 meses;40,7
Total personas (75 y más años);País Vasco;Han utilizado internet semanalmente (al menos una vez a la semana);35,3
Total personas (75 y más años);País Vasco;Han usado Internet diariamente (al menos 5 días a la semana);25,8
Total personas (75 y más años);País Vasco;Han utilizado internet varias veces al día;22,6
Total personas (75 y más años);Rioja, La;Total;32.695
Total personas (75 y más años);Rioja, La;Han utilizado Internet alguna vez;30,9
Total personas (75 y más años);Rioja, La;Han utilizado Internet en los últimos 12 meses;28,7
Total personas (75 y más años);Rioja, La;Han utilizado Internet en los últimos 3 meses;26,8
Total personas (75 y más años);Rioja, La;Han utilizado internet semanalmente (al menos una vez a la semana);20,6
Total personas (75 y más años);Rioja, La;Han usado Internet diariamente (al menos 5 días a la semana);14,1
Total personas (75 y más años);Rioja, La;Han utilizado internet varias veces al día;12,4
Total personas (75 y más años);Ceuta;Total;7.496
Total personas (75 y más años);Ceuta;Han utilizado Internet alguna vez;46
Total personas (75 y más años);Ceuta;Han utilizado Internet en los últimos 12 meses;33,1
Total personas (75 y más años);Ceuta;Han utilizado Internet en los últimos 3 meses;33,1
Total personas (75 y más años);Ceuta;Han utilizado internet semanalmente (al menos una vez a la semana);33,1
Total personas (75 y más años);Ceuta;Han usado Internet diariamente (al menos 5 días a la semana);24,4
Total personas (75 y más años);Ceuta;Han utilizado internet varias veces al día;24,4
Total personas (75 y más años);Melilla;Total;881
Total personas (75 y más años);Melilla;Han utilizado Internet alguna vez;80
Total personas (75 y más años);Melilla;Han utilizado Internet en los últimos 12 meses;60
Total personas (75 y más años);Melilla;Han utilizado Internet en los últimos 3 meses;60
Total personas (75 y más años);Melilla;Han utilizado internet semanalmente (al menos una vez a la semana);60
Total personas (75 y más años);Melilla;Han usado Internet diariamente (al menos 5 días a la semana);60
Total personas (75 y más años);Melilla;Han utilizado internet varias veces al día;60
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Total;1.639.876
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Han utilizado Internet en los últimos 3 meses;97,7
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Han utilizado internet semanalmente (al menos una vez a la semana);88,1
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Han usado Internet diariamente (al menos 5 días a la semana);65,5
Usuarios de Internet en los últimos 12 meses (75 y más años);Total nacional;Han utilizado internet varias veces al día;56,6
Usuarios de Internet en los últimos 12 meses (75 y más años);Andalucía;Total;294.337
