Comunidades y Ciudades Autónomas;Tipo de equipamiento;Total
Total nacional;Total Viviendas;16.935.042
Total nacional;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;82,9
Total nacional;Ordenadores de sobremesa o portátil (no incluye tablet);77,9
Total nacional;Ordenadores tipo Tablet;55,4
Total nacional;Viviendas que disponen de acceso a Internet;96,1
Total nacional;Viviendas con conexión de Banda Ancha;96,1
Total nacional;Viviendas con conexión de banda ancha fija;83
Total nacional;Viviendas con conexión solo a través de  banda ancha  móvil;13,1
Total nacional;Viviendas con  teléfono fijo;62,5
Total nacional;Viviendas con  teléfono móvil;99,5
Andalucía;Total Viviendas;3.000.249
Andalucía;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;78,4
Andalucía;Ordenadores de sobremesa o portátil (no incluye tablet);73,5
Andalucía;Ordenadores tipo Tablet;51,2
Andalucía;Viviendas que disponen de acceso a Internet;94,5
Andalucía;Viviendas con conexión de Banda Ancha;94,5
Andalucía;Viviendas con conexión de banda ancha fija;79,3
Andalucía;Viviendas con conexión solo a través de  banda ancha  móvil;15,2
Andalucía;Viviendas con  teléfono fijo;53
Andalucía;Viviendas con  teléfono móvil;99,3
Aragón;Total Viviendas;471.231
Aragón;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;86
Aragón;Ordenadores de sobremesa o portátil (no incluye tablet);82,5
Aragón;Ordenadores tipo Tablet;55,1
Aragón;Viviendas que disponen de acceso a Internet;98,2
Aragón;Viviendas con conexión de Banda Ancha;98,2
Aragón;Viviendas con conexión de banda ancha fija;84,5
Aragón;Viviendas con conexión solo a través de  banda ancha  móvil;13,6
Aragón;Viviendas con  teléfono fijo;71,6
Aragón;Viviendas con  teléfono móvil;99,7
Asturias, Principado de;Total Viviendas;395.615
Asturias, Principado de;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;78,1
Asturias, Principado de;Ordenadores de sobremesa o portátil (no incluye tablet);72,4
Asturias, Principado de;Ordenadores tipo Tablet;51,9
Asturias, Principado de;Viviendas que disponen de acceso a Internet;94,3
Asturias, Principado de;Viviendas con conexión de Banda Ancha;94,3
Asturias, Principado de;Viviendas con conexión de banda ancha fija;76,3
